A_ID_PERIODO,A_ID_PERIODO_FECHA,B_TARGET,A_PA_NPERIODOS_ANT,A_PA_NPERIODOS_POS,B_PA_DDM_EVER,B_PA_DDM_PROX12,B_PA_PERIODO_DQ90_EVER,D_CLI_PA_OPERACION_MIN,D_CLI_PA_PERIODO_ALTA_MIN,D_PA_OPERACION,D_PA_OPERACION_PRIMERA,D_PA_PERIODO_ALTA,I_CLI_CALIF,I_CLI_CALIF_CRC,I_CLI_OCUPACION,I_CLI_RIESGO,I_CLI_SEXO,I_PA_AREA,I_PA_PRODUCTO,I_PA_PRODUCTO_GRUPO,I_PA_SUCURSAL,N_CLI_EDAD,N_CLI_PA_ANTIG_TOTAL_MAX,N_CLI_PA_CUOTAS_MAX,N_CLI_PA_CUOTAS_PAGAS_EVER,N_CLI_PA_DDM_ACTUAL_MAX,N_CLI_PA_DDM_EVER_MAX,N_CLI_PA_DDM_ULT01a03_MAX,N_CLI_PA_MESES_DQ30_EVER_MAX,N_CLI_PA_MESES_SINPAGO_EVER_MAX,N_CLI_TC_DDM_ACTUAL_MAX,N_CLI_TC_DDM_EVER_MAX,N_CLI_TC_DDM_ULT01a03_MAX,N_PA_ANTIG,N_PA_CUOTAS,N_PA_DDM_ACTUAL,N_PA_DDM_EVER,N_PA_DDM_ULT01a03,N_PA_MESES_ALDIA_EVER,N_PA_MESES_CONPAGO_EVER,N_PA_MESES_DQ30_EVER,N_PA_MESES_SINPAGO_EVER,P_CLI_PA_CUOTA_SUM_v_INGRESO,P_CLI_PA_MONTO_NETO_SUM_v_INGRESO,P_CLI_PA_SALDO_SUM_v_INGRESO,P_CLI_TC_DEUDA_v_CREDITO,P_CLI_TC_FINANC1_v_DEUDA,P_PA_CUOTA_v_INGRESO,P_PA_CUOTA_v_MONTO_NETO,P_PA_CUOTA_v_SALDO,P_PA_MONTO_NETO_v_INGRESO,P_PA_SALDO_v_INGRESO,P_PA_SALDO_v_MONTO_NETO,PN_PA_ANTIG_v_CUOTAS,PN_PA_CUOTAS_CLIENTE,PN_PA_DDM_ACTUAL_CLIENTE,PN_PA_DDM_EVER_CLIENTE,PN_PA_DDM_ULT01a03_CLIENTE,PN_PA_MESES_ALDIA_EVER_v_ANTIG,PN_PA_MESES_CONPAGO_EVER_v_ANTIG,PN_PA_MESES_DQ30_v_SINPAGO_EVER,PV_PA_MONTO_NETO_CLIENTE,PV_PA_SALDO_CLIENTE,V_CLI_INGRESO,V_CLI_PA_CUOTA_SUM,V_CLI_PA_MONTO_NETO_SUM,V_CLI_PA_SALDO_SUM,V_CLI_TC_CREDITO_LINEA_SUM,V_CLI_TC_DEUDA_SUM,V_CLI_TC_FINANC1_SUM,V_PA_CUOTA,V_PA_MONTO_NETO,V_PA_SALDO
201304,30/04/2013,0,0,4,5,5, ,18/04/2013,201304,18/04/2013,18/04/2013,201304,0,1,EMPL.FIRMA ESTATAL,D,F,OI,1,1,47,24,0,6,10,-25, , , ,0, , , ,0,6,-25, , ,0,0,0,0,12.36256447,67.23811867,67.23811867, , ,12.36256447,18.38624386,18.38624386,67.23811867,67.23811867,100,0,100,100, , , , ,0,100,100,1658232,205000,1114964,1114964, , , ,205000,1114964,1114964
201302,28/02/2013,0,5,12,87,87, ,26/09/2012,201209,26/09/2012,24/10/2001,201209,12,1,SIN DEFINIR,H,M,FA,1,1,0,55,136,18,54,-5,-5,-5, ,2, , , ,5,18,-5,-5,-5,5,3,0,2,17.3,245.0834,199.3332, , ,17.3,7.058821609,8.678935571,245.0834,199.3332,81.33280345,27.77777778,100,100,100,100,100,60,0,100,100,0,86500,1225417,996666, , , ,86500,1225417,996666
201303,31/03/2013,0,6,11,87,87, ,26/09/2012,201209,26/09/2012,24/10/2001,201209,12,1,SIN DEFINIR,H,M,FA,1,1,0,55,137,18,54,-5,-5,-5, ,2, , , ,6,18,-5,-5,-5,6,4,0,2,17.3,245.0834,186.7382, , ,17.3,7.058821609,9.264306928,245.0834,186.7382,76.1937365,33.33333333,100,100,100,100,100,66.66666667,0,100,100,0,86500,1225417,933691, , , ,86500,1225417,933691
201304,30/04/2013,0,7,10,87,87, ,26/09/2012,201209,26/09/2012,24/10/2001,201209,12,1,SIN DEFINIR,H,M,FA,1,1,0,55,138,18,54,-5,-5,-5, ,2, , , ,7,18,-5,-5,-5,7,5,0,2,17.3,245.0834,174.3182, , ,17.3,7.058821609,9.924379669,245.0834,174.3182,71.12607382,38.88888889,100,100,100,100,100,71.42857143,0,100,100,0,86500,1225417,871591, , , ,86500,1225417,871591
201302,28/02/2013,0,4,2,-10,-10, ,10/10/2012,201210,10/10/2012,25/08/1995,201210,10,1,EMPL.FIRMA PARTICULAR,F,M,FA,1,1,13,40,210,16,50,-10,-10,-10, ,1, , , ,4,16,-10,-10,-10,4,3,0,1,17.74423963,229.0241935,180.6378571, , ,17.74423963,7.747757718,9.823101266,229.0241935,180.6378571,78.87282751,25,100,100,100,100,100,75,0,100,100,4340000,770100,9939650,7839683, , , ,770100,9939650,7839683
201303,31/03/2013,0,5,1,-10,-10, ,10/10/2012,201210,10/10/2012,25/08/1995,201210,10,1,EMPL.FIRMA PARTICULAR,F,M,FA,1,1,13,40,211,16,50,-10,-10,-10, ,1, , , ,5,16,-10,-10,-10,5,4,0,1,17.74423963,229.0241935,167.2918664, , ,17.74423963,7.747757718,10.60675574,229.0241935,167.2918664,73.04549959,31.25,100,100,100,100,100,80,0,100,100,4340000,770100,9939650,7260467, , , ,770100,9939650,7260467
201302,28/02/2013,0,10,2,15,15, ,20/04/2012,201204,20/04/2012,20/04/2012,201204,0,1,EMPL.FIRMA PARTICULAR,F,F,OI,1,1,29,28,10,12,12,-15,15,15, ,2, , , ,10,12,-15,15,15,10,8,0,2,19.075,194.6444167,36.754, , ,19.075,9.799921481,51.89911302,194.6444167,36.754,18.8826377,83.33333333,100,100,100,100,100,80,0,100,100,1200000,228900,2335733,441048, , , ,228900,2335733,441048
201303,31/03/2013,0,11,1,15,15, ,20/04/2012,201204,20/04/2012,20/04/2012,201204,0,1,EMPL.FIRMA PARTICULAR,F,F,OI,1,1,29,28,11,12,12,-15,15,-15, ,2, , , ,11,12,-15,15,-15,11,9,0,2,19.075,194.6444167,18.576, , ,19.075,9.799921481,102.6862618,194.6444167,18.576,9.543556562,91.66666667,100,100,100,100,100,81.81818182,0,100,100,1200000,228900,2335733,222912, , , ,228900,2335733,222912
201302,28/02/2013,0,3,4,21,21, ,12/11/2012,201211,12/11/2012,16/11/2000,201211,10,1,EMPL.FIRMA ESTATAL,H,M,OI,1,1,20,44,147,24,182,-10,-10,-10, ,1,0,0,0,3,24,-10,-10,-10,3,2,0,1,14.88230073,263.0801917,238.2013137,87.66823529,65.44613133,14.88230073,5.656944611,6.247782809,263.0801917,238.2013137,90.54323403,12.5,100,100,100,100,100,66.66666667,0,100,100,7041250,1047900,18524134,16772350,9180000,8047944,5267068,1047900,18524134,16772350
201303,31/03/2013,0,4,3,21,21, ,12/11/2012,201211,12/11/2012,16/11/2000,201211,10,1,EMPL.FIRMA ESTATAL,H,M,OI,1,1,20,44,148,24,182,-10,-10,-10, ,1,0,0,0,4,24,-10,-10,-10,4,3,0,1,14.88230073,263.0801917,229.0767974,79.43795207,74.63390673,14.88230073,5.656944611,6.496642564,263.0801917,229.0767974,87.07489376,16.66666667,100,100,100,100,100,75,0,100,100,7041250,1047900,18524134,16129870,9180000,7292404,5442606,1047900,18524134,16129870
201304,30/04/2013,0,5,2,21,21, ,12/11/2012,201211,12/11/2012,16/11/2000,201211,10,1,EMPL.FIRMA ESTATAL,H,M,OI,1,1,20,44,149,24,182,-10,-10,-10, ,1,0,0,0,5,24,-10,-10,-10,5,4,0,1,14.88230073,263.0801917,220.3249991,71.20294118,76.52753873,14.88230073,5.656944611,6.754703637,263.0801917,220.3249991,83.74822812,20.83333333,100,100,100,100,100,80,0,100,100,7041250,1047900,18524134,15513634,9180000,6536430,5002169,1047900,18524134,15513634
